year,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1913,Storm,1,732,,,,,200000
1913,"Transport accident",2,263,,,,,
1914,Earthquake,4,149,,20,,20,
1914,"Industrial accident",1,189,,,,,
1914,Storm,1,,,,,,
1914,"Transport accident",1,1014,,,,,
1914,"Volcanic activity",1,140,,,,,20000
1915,Earthquake,3,29986,,,,,61000
1915,Flood,1,,3000000,,,3000000,
1915,"Mass movement (dry)",1,56,,22,,22,
1915,Storm,2,2125,,,,,60000
1915,"Transport accident",4,1079,,246,,246,
1916,Earthquake,1,,,,,,
1916,"Miscellaneous accident",3,271,,,8000,8000,2500
1916,Storm,1,300,,,,,
1916,"Transport accident",5,1089,,,,,
1917,Earthquake,3,19450,,,,,
1917,Epidemic,1,2500000,,,,,
1917,Flood,1,,635000,,,635000,
1917,"Industrial accident",1,65,,,,,
1917,Storm,2,4057,,,,,50000
1917,"Transport accident",8,2267,,9000,6000,15000,
1918,Earthquake,5,10379,,,,,29000
1918,Epidemic,3,449700,2000000,,,2000000,
1918,"Industrial accident",1,88,,,,,
1918,"Miscellaneous accident",1,38,,,,,
1918,Storm,1,34,,,,,
1918,"Transport accident",6,623,,40,,40,
1918,Wildfire,1,1000,,,,,100000
1919,Drought,1,,,,,,
1919,Epidemic,1,,,,,,
1919,Storm,2,500,,,,,25000
1919,"Volcanic activity",1,5000,,,,,
1920,Drought,2,524000,20000000,,,20000000,
1920,Earthquake,3,180000,,650,,650,
1920,Epidemic,3,2500000,,,,,
1920,Flood,1,,,,,,20000
1920,"Industrial accident",1,12,,,,,
1920,"Miscellaneous accident",1,40,,,,,
1920,Storm,1,224,,,,,
1921,Drought,1,1200000,5000000,,,5000000,
1921,Earthquake,1,,,,,,
1921,Epidemic,1,,,,,,
1921,"Industrial accident",2,621,,1500,,1500,
1921,"Transport accident",2,1044,,,,,
1922,Earthquake,2,1100,,,,,
1922,Epidemic,1,,,,,,
1922,"Industrial accident",1,10,,,,,
1922,Landslide,1,100,,,,,
1922,"Miscellaneous accident",1,200,,,,,100000
1922,Storm,2,100000,,,,,
1922,"Transport accident",2,51,,,,,
1922,Wildfire,1,43,,,11000,11000,8000
1923,Earthquake,5,152362,100000,103733,,203733,600000
1923,Epidemic,3,100000,18000000,,,18000000,
1923,"Industrial accident",1,10,,,,,
1923,Landslide,1,200,,,,,
1923,"Miscellaneous accident",2,4400,,,,,
1923,Storm,6,3139,,,26300,26300,10000
1924,Earthquake,2,767,,,11250,11250,
1924,Epidemic,1,300000,,,,,
1924,"Industrial accident",1,24,,,,,
1924,Storm,2,2242,1000000,,,1000000,
1925,Earthquake,2,5013,,,,,8000
1925,Flood,1,,,,,,19000
1925,Storm,3,819,,,,,18000
1925,"Transport accident",1,14,,,,,
1926,Earthquake,1,12,,,,,
1926,Epidemic,1,423000,,,,,
1926,Flood,4,1000,,,,,31000
1926,Landslide,2,128,,,,,
1926,Storm,7,3568,,,40000,40000,73000
1926,"Volcanic activity",1,144,,,,,
1927,Earthquake,6,206142,,50,,50,80000
1927,Flood,2,3246,,,,,230
1927,"Industrial accident",1,26,,,,,
1927,"Miscellaneous accident",1,76,,,,,
1927,Storm,4,5772,40000,10,,40010,22000
1928,Drought,1,3000000,,,,,
1928,Earthquake,7,635,,209,,209,
1928,Flood,2,36,6000,,2000,8000,
1928,"Miscellaneous accident",1,400,,,,,
1928,Storm,7,4224,,,,,75000
1928,"Transport accident",3,139,,,,,
1929,Earthquake,2,3317,,1121,,1121,
1929,"Industrial accident",2,38,,20,,20,
1929,Storm,2,,,,,,55000
1929,"Transport accident",3,34,,76,,76,
1929,"Volcanic activity",1,5000,,,,,
1929,Wildfire,1,60,,,,,
1930,Earthquake,7,5081,10000,208,,10208,
1930,Flood,1,,,,,,
1930,"Industrial accident",2,25,,19,,19,
1930,"Insect infestation",1,,,,,,
1930,Landslide,1,40,,,,,
1930,"Miscellaneous accident",1,317,,,,,
1930,Storm,4,4082,6000,6000,,12000,40000
1930,"Transport accident",3,76,,,,,
1930,"Volcanic activity",1,1369,,,,,
1931,Drought,1,,25000,,,25000,
1931,Earthquake,4,1537,11000,882,,11882,40000
1931,Flood,1,3700000,,,,,1400000
1931,"Industrial accident",1,17,,,,,
1931,Landslide,1,190,,,,,
1931,Storm,4,3200,,,,,7500
1931,"Transport accident",1,500,,,,,
1931,"Volcanic activity",1,1300,,,,,
1932,"Complex Disasters",1,5000000,,,,,
1932,Earthquake,2,70006,,115,2960,3075,
1932,Epidemic,1,16,,,,,
1932,"Industrial accident",1,17,,,,,
1932,Landslide,1,30,,,,,
1932,Storm,5,3244,,,2500,2500,30000
1933,Drought,1,,,,,,
1933,Earthquake,4,16180,,,,,63500
1933,Flood,2,18053,,,3600000,3600000,
1933,Storm,3,63,,,,,3000
1933,"Transport accident",6,353,,300,,300,
1934,Earthquake,4,15496,,1189,,1189,
1934,"Industrial accident",1,56,,5,,5,
1934,Landslide,1,500,,,,,
1934,"Miscellaneous accident",1,1500,,,,,
1934,Storm,4,5091,,,,,50000
1934,"Transport accident",3,160,,,,,
1935,Earthquake,3,66110,,,,,
1935,Epidemic,1,2000,,,,,
1935,Flood,1,142000,10030000,,,10030000,
1935,"Industrial accident",1,10,,,,,
1935,Storm,7,62707,,500,,500,8000
1935,"Transport accident",10,179,,27,,27,
1936,Earthquake,2,26,,20,,20,
1936,"Extreme temperature ",2,1693,,,,,
1936,Flood,1,200,,,,,
1936,"Industrial accident",2,231,,30,,30,
1936,Landslide,1,73,,,,,
1936,Storm,5,3309,,,150000,150000,21000
1936,"Transport accident",10,142,,20,,20,
1937,Flood,2,248,,,,,438000
1937,"Mass movement (dry)",1,40,,,,,
1937,"Miscellaneous accident",1,658,,,,,
1937,Storm,3,11231,,,,,
1937,"Transport accident",9,234,,,,,
1937,"Volcanic activity",1,506,7500,,,7500,
1938,Earthquake,2,166,,800,4710,5510,
1938,Flood,2,954,,,,,
1938,"Industrial accident",1,20,,,,,
1938,Landslide,1,200,,,,,
1938,"Miscellaneous accident",1,20,,,200,200,
1938,Storm,2,905,,,,,306000
1938,"Transport accident",19,403,,,,,
1939,Earthquake,6,63094,,58568,,58568,940000
1939,Flood,2,500010,,,,,
1939,"Industrial accident",2,23,,30,,30,
1939,"Miscellaneous accident",1,500,,,,,
1939,Storm,2,3,,,,,
1939,"Transport accident",7,138,,80,,80,
1939,Wildfire,1,71,,,3900,3900,
1940,Drought,9,20000,,,,,
1940,Earthquake,4,1275,,,,,43000
1940,Epidemic,1,1500,15000,,,15000,
1940,Flood,1,125,,,2000,2000,
1940,"Industrial accident",1,25,,,,,
1940,"Miscellaneous accident",1,207,,,,,
1940,Storm,3,123,,,,,
1940,"Transport accident",7,125,,79,,79,
1941,Earthquake,2,189,,,,,
1941,Landslide,1,5000,,,,,
1941,"Miscellaneous accident",1,120,,,,,
1941,Storm,2,5006,,,,,
1941,"Transport accident",13,217,,,,,
1942,Drought,1,1500000,,,,,
1942,Earthquake,5,7235,,16,,16,28000
1942,"Industrial accident",3,1799,,1000,,1000,
1942,"Miscellaneous accident",2,591,,100,,100,
1942,Storm,3,101000,,,,,
1942,"Transport accident",12,214,,,,,
1943,Drought,1,1900000,,,,,
1943,Earthquake,5,4332,14000,7131,,21131,100000
1943,Flood,2,990,,,,,900000
1943,Storm,3,5000,30000,,,30000,
1943,"Transport accident",24,422,,2,,2,
1943,"Volcanic activity",1,,3000,,,3000,
1944,Earthquake,4,14984,120000,35000,,155000,
1944,"Insect infestation",1,,,,,,
1944,"Miscellaneous accident",1,163,,,,,
1944,Storm,5,726,,,12000,12000,100000
1944,"Transport accident",18,1325,,,,,
1944,"Volcanic activity",1,26,,,14000,14000,
1944,Wildfire,2,170,,,2100,2100,
1945,Earthquake,4,5961,,,,,
1945,Epidemic,1,,104,,,104,
1945,Storm,7,4415,1881672,,2000,1883672,400000
1945,"Transport accident",1,102,,,,,
1945,"Volcanic activity",1,,,,,,80000
1946,Drought,1,30000,,,,,
1946,Earthquake,8,5153,,,,,25000
1946,"Industrial accident",2,455,,,,,
1946,"Miscellaneous accident",4,246,,800,,800,
1946,Storm,5,337,,,,,500
1946,"Transport accident",3,91,,54,,54,
1946,"Volcanic activity",1,,2500,,,2500,
1947,Drought,1,,,,,,
1947,Earthquake,2,633,,,,,
1947,Epidemic,1,10276,,,,,
1947,Flood,1,2000,,,,,
1947,"Industrial accident",3,725,,40,,40,
1947,Storm,7,4738,,,,,100000
1947,"Transport accident",3,688,,183,,183,
1947,Wildfire,1,,,,,,30000
1948,Earthquake,5,115618,,6000,,6000,1025000
1948,Flood,5,917,,,,,
1948,"Industrial accident",2,335,,,,,6000
1948,Landslide,2,525,,,,,
1948,Storm,10,2971,414153,300,,414453,18000
1948,"Transport accident",4,1163,4,,,4,
1948,"Volcanic activity",1,100,,,,,
1949,Earthquake,6,6486,105000,528,,105528,144200
1949,Flood,2,97000,,,,,15000
1949,Landslide,1,12000,,,,,
1949,"Miscellaneous accident",1,1700,,,,,
1949,Storm,8,2804,194046,,,194046,
1949,"Transport accident",3,350,,,,,
1949,"Volcanic activity",2,2000,,,,,
1949,Wildfire,1,80,,,,,
1950,Earthquake,4,1833,,200,40000,40200,
1950,Epidemic,1,,72162,,,72162,
1950,Flood,10,3808,10132000,,,10132000,100000
1950,"Industrial accident",2,477,,1046,,1046,
1950,Landslide,1,130,,,,,
1950,Storm,7,873,642117,,,642117,101000
1950,"Transport accident",4,281,,405,,405,
1950,"Volcanic activity",1,84,,,,,
1951,Earthquake,3,1554,,150,,150,23000
1951,"Extreme temperature ",2,69,,,,,100000
1951,Flood,7,5666,318534,,173500,492034,1329000
1951,Landslide,1,92,,,,,20000
1951,"Miscellaneous accident",1,11,,,,,
1951,Storm,11,2861,80000,200,,80200,56250
1951,"Transport accident",2,108,,,,,
1951,"Volcanic activity",3,4800,,,,,
1952,Earthquake,8,2432,,450,,450,100900
1952,Flood,4,199,,,,,
1952,"Industrial accident",2,29,,,,,
1952,Landslide,1,28,,,,,
1952,Storm,9,2277,1000000,1252,,1001252,52000
1952,"Transport accident",4,331,15,340,,355,
1952,"Volcanic activity",1,29,29,,,29,
1953,Earthquake,7,2717,50000,155,,50155,607310
1953,Epidemic,1,481,8000,,,8000,
1953,"Extreme temperature ",3,669,,,,,
1953,Flood,12,7125,2187110,,4000,2191110,300000
1953,"Industrial accident",4,62,,11,,11,
1953,Storm,11,1814,1000000,,,1000000,77000
1953,"Transport accident",6,547,,100,,100,
1953,"Volcanic activity",1,150,,,,,
1954,Earthquake,5,3344,,601,129250,129851,6000
1954,Flood,9,34436,,,,,50000
1954,Landslide,8,1086,380,,5466,5846,
1954,"Miscellaneous accident",1,2000,,,,,178000
1954,Storm,10,2969,297049,,,297049,831000
1954,"Transport accident",9,1531,,47,,47,
1954,"Volcanic activity",1,37,,,,,
1955,Earthquake,4,959,,2141,,2141,
1955,"Extreme temperature ",1,107,,,,,
1955,Flood,3,584,,,,,
1955,Landslide,2,478,,,,,
1955,"Mass movement (dry)",1,3,,6,2000,2006,
1955,"Miscellaneous accident",2,139,,,,,
1955,Storm,19,3895,,,375000,375000,877000
1955,"Transport accident",4,469,,173,,173,
1956,Earthquake,6,763,,2589,,2589,25000
1956,Flood,9,3613,,,77000,77000,
1956,"Industrial accident",4,3029,,,,,40000
1956,Landslide,5,236,,,,,
1956,Storm,14,3114,1000000,,,1000000,
1956,"Transport accident",3,104,1600,150,,1750,
1956,"Volcanic activity",1,,,,,,
1956,Wildfire,1,11,,,,,
1957,Earthquake,8,6993,10000,5248,,15248,25000
1957,Flood,11,2471,268240,,,268240,
1957,"Industrial accident",1,,400000,935,,400935,
1957,"Miscellaneous accident",1,72,,,,,
1957,Storm,9,1139,250000,111,,250111,150000
1957,"Transport accident",4,590,,945,,945,
1957,"Volcanic activity",1,,3200,,,3200,
1958,Earthquake,4,227,,1019,,1019,10100
1958,"Extreme temperature ",2,651,,,,,520000
1958,Flood,3,400,5000,,,5000,
1958,"Industrial accident",4,299,,,,,
1958,Landslide,1,52,,,,,
1958,"Miscellaneous accident",3,195,,,,,
1958,Storm,13,2620,20000,,,20000,
1958,"Transport accident",2,75,4,89,,93,
1959,Earthquake,3,103,,,,,26000
1959,Flood,13,2003396,13000,,,13000,
1959,"Industrial accident",1,,,2000,,2000,
1959,Landslide,1,48,,,,,
1959,"Miscellaneous accident",3,595,6500,,,6500,
1959,Storm,16,9695,1501600,,,1501600,672200
1959,"Transport accident",1,35,,,,,
1960,Drought,1,,,,,,
1960,Earthquake,9,19395,2000000,28000,1250,2029250,810000
1960,Flood,7,10577,167000,,,167000,
1960,"Industrial accident",1,417,437,,,437,
1960,Landslide,2,52,,,,,
1960,"Miscellaneous accident",1,225,1600,300,,1900,
1960,Storm,20,9164,644000,377,1000,645377,454041
1960,"Transport accident",3,165,,106,,106,
1960,"Volcanic activity",1,,2000,,,2000,
1961,Drought,1,,,,,,
1961,Earthquake,2,60,,,,,
1961,"Extreme temperature ",1,400,,,,,
1961,Flood,8,3863,1302384,,2000,1304384,
1961,"Industrial accident",1,15,,,,,49505
1961,Landslide,2,166,,,,,
1961,"Miscellaneous accident",4,355,1100,1100,,2200,
1961,Storm,14,12852,8000,,1171,9171,480400
1961,"Transport accident",2,86,,,,,
1962,Earthquake,3,12209,100000,3267,,103267,30000
1962,"Extreme temperature ",1,50,,,,,
1962,Flood,8,1180,,,,,80000
1962,Landslide,2,71,,,,,
1962,"Mass movement (dry)",1,2000,,,,,200000
1962,"Miscellaneous accident",1,28,,13,,13,
1962,Storm,13,1860,40000,,,40000,1219000
1962,"Transport accident",4,371,,433,,433,
1963,Drought,1,,13400,,,13400,
1963,Earthquake,3,1700,,3843,,3843,840000
1963,Epidemic,3,1000,7724,,,7724,
1963,"Extreme temperature ",2,162,,,,,
1963,Flood,8,1031,80400,10,,80410,
1963,Landslide,2,2033,,,,,
1963,"Mass movement (dry)",1,150,,,,,
1963,"Miscellaneous accident",2,209,,,,,
1963,Storm,21,29965,6000000,,2200,6002200,879090
1963,"Transport accident",5,514,9,120,,129,
1963,"Volcanic activity",3,1705,83000,200,,83200,
1964,Drought,7,50,2596000,,,2596000,
1964,Earthquake,7,335,90500,2961,23000,116461,1828000
1964,Epidemic,3,617,14548,,,14548,
1964,Flood,22,1123,2223037,,53900,2276937,893200
1964,"Industrial accident",2,521,400,,,400,
1964,Landslide,1,108,,,,,
1964,"Miscellaneous accident",6,394,5800,546,,6346,254
1964,Storm,22,10655,2750955,2224,143000,2896179,399150
1964,"Transport accident",2,94,,200,,200,
1964,"Volcanic activity",1,4,2000,,,2000,
1965,Drought,7,1502000,101966000,,,101966000,127118
1965,Earthquake,7,683,177582,2091,60000,239673,198000
1965,Epidemic,6,816,105120,,,105120,
1965,"Extreme temperature ",1,100,,,,,
1965,Flood,19,1401,4410813,15245,88214,4514272,522100
1965,"Industrial accident",3,568,,,,,
1965,Landslide,5,204,,,,,
1965,"Mass movement (dry)",1,26,,22,,22,
1965,"Miscellaneous accident",6,135,16300,196,,16496,11565
1965,Storm,19,59932,10601200,601939,5000200,16203339,1669400
1965,"Transport accident",6,608,450,480,,930,
1965,"Volcanic activity",1,355,50000,785,8000,58785,10000
1965,Wildfire,1,,,,,,1000
1966,Drought,9,8000,360000,,,360000,
1966,Earthquake,11,2752,322600,4389,49256,376245,356100
1966,Epidemic,2,200,2942,,,2942,
1966,"Extreme temperature ",2,262,,,,,
1966,Flood,23,1923,3297524,2384,1616563,4916471,2206582
1966,Landslide,4,604,4000000,,,4000000,27
1966,"Miscellaneous accident",7,32,41785,166,3492,45443,31431
1966,Storm,28,2327,2280764,1582,423500,2705846,306122
1966,"Transport accident",3,188,,6,,6,
1966,"Volcanic activity",2,1088,45000,2060,,47060,
1967,Drought,5,600,2878483,,,2878483,600200
1967,Earthquake,10,1013,441640,4849,100690,547179,79000
1967,Epidemic,5,3137,214572,,,214572,
1967,Flood,26,2446,2252561,1841,210800,2465202,324926
1967,"Industrial accident",1,1,,,,,36400
1967,Landslide,2,590,500,,168,668,
1967,"Miscellaneous accident",8,690,8130,809,,8939,23600
1967,Storm,25,2255,590574,1023,3500,595097,451200
1967,"Transport accident",7,358,,178,,178,
1967,Wildfire,2,62,3000,100,,3100,68500
1968,Drought,7,,1114217,,,1114217,64000
1968,Earthquake,14,10858,162974,5953,4000,172927,468569
1968,Epidemic,4,177,3149,,,3149,
1968,"Extreme temperature ",2,153,,,,,
1968,Flood,20,7306,23834192,100200,894584,24828976,417181
1968,"Industrial accident",1,,,200,,200,
1968,Landslide,4,1196,722,7,168,897,
1968,"Miscellaneous accident",4,97,650,10,130,790,720
1968,Storm,25,1669,358601,1053,79576,439230,61488
1968,"Transport accident",3,169,,45,,45,
1968,"Volcanic activity",2,90,57391,,9280,66671,10000
1968,Wildfire,3,12,1000,,800,1800,1000
1969,Drought,10,,8951604,,20000,8971604,215000
1969,Earthquake,8,3353,252000,2244,85420,339664,55320
1969,Epidemic,14,3520,130220,,,130220,7
1969,Flood,14,1544,1799713,3890,17384,1820987,551420
1969,Landslide,1,18,,,,,
1969,"Miscellaneous accident",10,87,15427,20,,15447,6497
1969,Storm,25,3252,666266,16135,26943,709344,1568359
1969,"Transport accident",4,209,4,250,,254,
1969,"Volcanic activity",2,,251700,,,251700,200
1969,Wildfire,2,,,,,,
1970,Drought,2,,10087600,,,10087600,2100
1970,Earthquake,11,78599,3241581,146685,27992,3416258,601750
1970,Epidemic,4,939,8177,,,8177,
1970,Flood,31,3246,27729482,1603,462018,28193103,1307770
1970,"Industrial accident",3,161,500,1,,501,
1970,Landslide,5,186,161,,,161,
1970,"Mass movement (dry)",1,42,,37,,37,
1970,"Miscellaneous accident",9,393,1105,585,,1690,60
1970,Storm,24,304495,5412245,5032,77080,5494357,1064974
1970,"Transport accident",4,697,,,,,
1970,Wildfire,3,,,,,,100000
1971,Drought,7,,999000,,,999000,3900
1971,Earthquake,5,1107,2412642,2751,27465,2442858,818000
1971,Epidemic,2,2313,7476,,,7476,
1971,"Extreme temperature ",1,400,,,,,100000
1971,Flood,15,2404,1157000,2000,15000,1174000,556300
1971,"Industrial accident",2,70,,123,,123,
1971,Landslide,5,1020,6,,,6,
1971,"Mass movement (dry)",1,31,,,1500,1500,
1971,"Miscellaneous accident",4,277,,228,,228,
1971,Storm,22,10811,5043050,347,2049300,7092697,208389
1971,"Transport accident",7,375,,232,,232,
1971,"Volcanic activity",3,,11000,,600,11600,2000
1971,Wildfire,2,,,,,,
1972,Drought,7,,204815000,,,204815000,187000
1972,Earthquake,5,15170,1922576,21332,375000,2318908,866000
1972,Epidemic,1,35,174,,,174,
1972,"Extreme temperature ",2,110,,,,,
1972,Flood,15,2548,3604061,965,710502,4315528,434493
1972,"Industrial accident",5,521,100,6613,,6713,
1972,Landslide,5,755,1000,,,1000,
1972,"Miscellaneous accident",12,719,27000,,,27000,2900
1972,Storm,26,1427,7666475,750,37000,7704225,2602920
1972,"Transport accident",11,1144,,2361,,2361,
1972,Wildfire,3,,,,,,
1973,Drought,2,100000,3000000,,,3000000,76000
1973,Earthquake,4,552,3563,162,84,3809,650
1973,"Extreme temperature ",3,283,,,,,
1973,Flood,20,1835,5118240,811,94250,5213301,1766493
1973,"Industrial accident",5,147,12010,1000,,13010,
1973,Landslide,5,3541,,,,,
1973,"Miscellaneous accident",6,253,,72,,72,
1973,Storm,22,4344,3589834,15372,55200,3660406,539200
1973,"Transport accident",8,569,,120,,120,
1973,"Volcanic activity",1,,5200,,,5200,24700
1973,Wildfire,3,,,,5000,5000,
1974,Drought,4,19000,737000,,,737000,
1974,Earthquake,4,24808,71260,17487,5200,93947,13255
1974,Epidemic,2,1500,30500,,,30500,
1974,Flood,19,29431,41100823,,2093000,43193823,906972
1974,"Industrial accident",6,43,3000,1249,,4249,
1974,"Insect infestation",1,,,,,,
1974,Landslide,10,904,12000,1000,1500,14500,21700
1974,"Miscellaneous accident",9,545,10500,164,500,11164,883
1974,Storm,28,11861,991495,907,6441,998843,3123017
1974,"Transport accident",7,831,,129,,129,
1974,Wildfire,3,,,,,,
1975,"Complex Disasters",1,,300000,,,300000,
1975,Drought,1,,,,,,
1975,Earthquake,4,12632,50000,3372,,53372,17000
1975,Epidemic,1,,107,,,107,
1975,"Extreme temperature ",3,140,,600,,600,600000
1975,Flood,17,848,32049205,93,7080150,39129448,1136243
1975,"Industrial accident",11,470,20000,650,,20650,
1975,"Insect infestation",1,,,,,,925
1975,Landslide,5,195,75000,,,75000,
1975,"Miscellaneous accident",9,207,2280,2,36,2318,1533
1975,Storm,28,1041,874773,255,4278,879306,1528122
1975,"Transport accident",12,1157,,419,,419,
1975,"Volcanic activity",3,2,,,,,
1975,Wildfire,2,,,,,,
1976,Drought,6,,3120000,,,3120000,
1976,Earthquake,20,276994,4748472,268901,1374000,6391373,10643000
1976,Epidemic,3,396,568,,,568,
1976,Flood,17,960,9765207,20,220000,9985227,607553
1976,"Industrial accident",9,127,2700,723,190000,193423,
1976,Landslide,6,315,,16,,16,100000
1976,"Miscellaneous accident",14,576,1860,121,614,2595,8751
1976,Storm,36,1763,4604443,1818,111384,4717645,2889394
1976,"Transport accident",5,352,,237,,237,
1976,"Volcanic activity",5,41,176510,3,5000,181513,679
1976,Wildfire,1,,,,,,
1977,Drought,16,,8408400,,,8408400,3300000
1977,Earthquake,14,3098,690026,12981,215500,918507,2082500
1977,Epidemic,22,1184,173923,,,173923,
1977,"Extreme temperature ",1,,,,,,2800000
1977,Flood,48,2568,3196546,7000,400260,3603806,737599
1977,"Industrial accident",5,373,10000,2165,,12165,12500
1977,Landslide,3,40,,50,100,150,11000
1977,"Miscellaneous accident",13,449,588450,4,,588454,4700
1977,Storm,32,15298,9304842,11740,5474450,14791032,1209809
1977,"Transport accident",8,870,32,1120,,1152,
1977,"Volcanic activity",5,215,31000,,65000,96000,22000
1977,Wildfire,2,3,,,,,24760
1978,Drought,9,63,6547885,,,6547885,2326700
1978,Earthquake,9,25162,646873,926,2700,650499,1315000
1978,Epidemic,21,3060,2016207,,,2016207,
1978,"Extreme temperature ",1,150,,,,,
1978,Flood,47,5897,42346770,1488,138200,42486458,1111123
1978,"Industrial accident",11,234,15500,1150,,16650,
1978,"Insect infestation",2,,,,,,
1978,Landslide,2,86,,7,,7,
1978,"Miscellaneous accident",18,1561,317798,455,165,318418,22662
1978,Storm,42,3676,3025762,7508,112829,3146099,1512698
1978,"Transport accident",12,920,100,963,,1063,
1978,"Volcanic activity",2,,26000,,,26000,
1978,Wildfire,3,2,4000,200,3000,7200,
1979,Drought,11,18,25992000,,,25992000,200000
1979,Earthquake,25,2100,409000,6526,33100,448626,535225
1979,Epidemic,3,486,1692,,,1692,
1979,"Extreme temperature ",4,470,,,,,80000
1979,Flood,34,1038,30435010,670,146732,30582412,188283
1979,"Industrial accident",20,655,436500,350,3,436853,
1979,"Insect infestation",1,,,,,,
1979,Landslide,7,338,5900,18,,5918,2466
1979,"Miscellaneous accident",16,1655,156910,437,,157347,22204
1979,Storm,31,2623,3615079,7353,432631,4055063,3521869
1979,"Transport accident",12,859,1484,973,,2457,
1979,"Volcanic activity",4,268,37000,1024,10000,48024,
1979,Wildfire,4,,30000,,,30000,15090
1980,Drought,14,,9640100,,,9640100,1500000
1980,Earthquake,24,7730,1134398,23142,478000,1635540,25450000
1980,Epidemic,8,1685,27195,,,27195,
1980,"Extreme temperature ",3,1389,,,,,2000000
1980,Flood,39,10466,45016276,27186,156000,45199462,1145100
1980,"Industrial accident",14,385,56600,1226,,57826,
1980,Landslide,4,300,,10,3000,3010,
1980,"Mass movement (dry)",1,50,,,,,
1980,"Miscellaneous accident",16,764,10500,1126,9300,20926,6711
1980,Storm,42,1379,16835140,1105,2065379,18901624,1889885
1980,"Transport accident",14,1208,,1311,,1311,
1980,"Volcanic activity",2,90,52235,,2500,54735,860000
1980,Wildfire,4,,5000,40,,5040,25975
1981,Drought,13,103000,7410000,,,7410000,7460000
1981,Earthquake,17,4206,150813,7455,,158268,1910000
1981,Epidemic,5,2497,64881,,,64881,
1981,"Extreme temperature ",2,300,,,,,
1981,Flood,43,5283,20514750,33612,213185,20761547,2822915
1981,"Industrial accident",10,701,7000,23282,,30282,14000
1981,Landslide,8,421,24000,,,24000,
1981,"Miscellaneous accident",15,207,1061500,601,1200,1063301,10915
1981,Storm,50,3790,3475071,12919,59858,3547848,1726604
1981,"Transport accident",15,1841,139,817,,956,
1981,"Volcanic activity",1,192,,,5000,5000,
1981,Wildfire,4,8,28588,,20000,48588,
1982,Drought,13,280,104237300,,,104237300,1000
1982,Earthquake,18,2120,494950,5044,9500,509494,2045950
1982,Epidemic,7,2912,175300,,,175300,
1982,"Extreme temperature ",3,400,200,,,200,
1982,Flood,48,4648,36917037,25292,372410,37314739,3941660
1982,"Industrial accident",12,326,64200,947,,65147,2500
1982,Landslide,11,640,47000,115,5016,52131,700000
1982,"Mass movement (dry)",2,59,200,,,200,
